label,message
benign,familypedia.wikia.com/wiki/Joseph_Philippe_Roi_
benign,http://mylust.com/videos/232790/hentai-slut-wit
benign,acronymfinder.com/John-Burroughs-High-school-(B
defacement,http://www.familienbund.org/index.php?option=co
defacement,http://www.vanoorschotkranen.nl/hoogwerker/hoog
benign,youtube.com/watch?v=K_-bsYE-y08
benign,myspace.com/jking909
defacement,http://www.academiedumeuble.ca/index.php?option
phishing,corporacionrossenditotours.com
defacement,http://maslen.sk/index.php?option=com_contact&v
defacement,http://www.clinicatecma.es/index.php/densiometr
benign,movies.msn.com/celebrities/celebrity/george-'ga
benign,idlebrain.com/news/functions/engagement-brahmin
benign,vh1.com/video/that-metal-show/full-episodes/car
benign,archiver.rootsweb.ancestry.com/th/read/GEN-OBIT
benign,perezhilton.com/category/william-shatner/
benign,fsnaindia.com/
benign,actionjaxon666.wordpress.com/2011/02/24/new-mac
benign,en.wikipedia.org/wiki/Kenji_Nojima
benign,alaskajewelry.com/colored-stone-tanzanite-rings
benign,greenparty.ca/campaign/24048
benign,http://mic.com/articles/117758/mtv-just-gave-th
benign,randomhouse.com/book/84548/tapestry-of-spies-by
benign,argentinawarez.com/musica-mp3-gratis/65991-ost-
benign,192.com/atoz/people/gerrard/steven/
benign,users6.nofeehost.com/aldenh/493.html
benign,facebook.com/opalhilldrive
benign,scottss.com/
phishing,http://drive-google-com.fanalav.com/6a7ec96d6a4
benign,manta.com/ic/mt6fkz0/ca/residence-sault-au-reco
defacement,http://www.perthshire-caravans.co.uk/stock-list
benign,forum.exscn.net/archive/index.php/t-10778.html?
benign,superpages.com/bp/Kansas-City-KS/Kansas-City-Te
benign,maxlapointe.com/?p=141
defacement,http://rendeck.com/index.php/nl/vacatures/table
benign,ca.ratemyteachers.com/louise-trichet/106184-s
benign,cardomain.com/ride/2424103/2006-pontiac-gto
benign,apps.facebook.com/ilike/artist/Les+Respectables
benign,cbssports.com/nba/players/playerpage/20626/paul
phishing,detkreimeier-fotografie.de
defacement,http://listovka.info/xmap.html
benign,home.comcast.net/~jcage89/350z/navbox/index.htm
benign,margaritawill.com/hotdogs/
benign,pipl.com/directory/name/Pallas/Tony
benign,newyorker.com/archive/1982/04/12/1982_04_12_039
benign,youtube.com/watch?v=eMY1FT3Pqh8
benign,law.cornell.edu/wex/Joint_venture
benign,pitchfork.com/reviews/albums/13979-broken-bells
benign,http://skyrock.com/videos/eDJwODRhNzoxMw==-bug-
benign,hollywood.com/movie/Biutiful/6870447
benign,facebook.com/pages/The-Paul-Lynde-Halloween-Spe
benign,hot-people.info/Crossett_AR_Dorothy-Moore_Eric-
benign,onlineradio7.com/listen/CFLO_1047
malware,http://9779.info/%E5%8F%A4%E4%BB%A3%E4%BA%8C%E5
defacement,http://www.jnpiraq.net/arabic/index.php?option=
benign,artistswithaids.org/artforms/music/catalogue/ri
defacement,http://www.versverwerktegroenten.nl/bruine-bone
benign,mylife.com/dominicbouchard
benign,mmagearguide.com/ufc-117-t-shirts-silva-vs-sonn
benign,worldtraveltours.org/4-alternative-places-you-c
benign,iptv.org/
benign,elliscountydivorcelawyer.com/ellis-county-post-
benign,http://grantland.com/the-triangle/2015-mlb-over
benign,fanpix.net/gallery/doug-savant-pictures.htm
benign,chacha.com/question/what-time-does-metro-center
benign,marcospecialties.com/storeitems.asp?game=Chicag
benign,hdlns.com/g508zf1457/Kansas+City+Star+Obituarie
benign,familytreemaker.genealogy.com/users/v/e/r/James
benign,therainmakersmessageboard.yuku.com/
benign,tumblr.com/tagged/sebastien+lefebvre
benign,ussoccer.com/News/Soccer-Wire/2002/10/U-S-Socce
benign,filmannex.com/movie/1984-olympics-fencing-men-s
benign,allaboutjazz.com/php/musician.php?id=3751
phishing,info-pages.000webhostapp.com
benign,skiracing.com/?q=node/514
phishing,myptccash.com
benign,ertx.com/movie/2008/mad-about-mambo
benign,classicbikepictures.co.uk/c319/p2499/for_sale/y
benign,http://thenextweb.com/dd/2011/05/09/squarespace
defacement,http://ecoledecoiffurecarolinelaprise.com/forma
benign,mtlasm.blogspot.com/
malware,http://chinacxyy.com/piccodejs-000.asp?lm2=191&
benign,medicinenet.com/heel_spurs/city.htm
benign,music.yahoo.com/nothingface/
malware,http://9779.info/%E6%8A%98%E7%BA%B8%E6%89%87%E5
benign,espn.go.com/college-football/team/_/id/2306/kan
benign,bleacherreport.com/articles/811265-mlb-power-ra
phishing,citiprepaid-salarysea-at.tk
benign,famoushookups.com/site/relationship_detail.php?
benign,genealogybuff.com/ar/clark/webbbs_config.pl/nof
benign,microlabsltd.com/
benign,tripadvisor.com/ShowUserReviews-g57417-d1013388
phishing,http://www.smc-images.co.uk/images/index_hvoda_
benign,flickr.com/people/sleepingelf/
defacement,http://www.nabu-gaildorf.de/index.php?option=co
benign,subscene.com/Taking-Woodstock/subtitles-80048.a
defacement,http://kccs.nichost.ru/index.php?option=com_con
defacement,http://www.nubiafarias.com/v1/index.php?option=
benign,http://thenextweb.com/insider/2014/10/29/unbabe
benign,tabs.ultimate-guitar.com/a/audioslave/audioslav
benign,sunjournal.com/section/news/5974
defacement,http://www.elektro-vozila.si/motocikli/novice/v
benign,ethicalsuperstore.com/products/green-and-blacks
benign,lilliputreview.blogspot.com/2011/04/r-h-blyth-o
defacement,http://www.musimagen.com/lista_socios.php?pagin
benign,basketball.wikia.com/wiki/Golden_State_Warriors
benign,ech.cwru.edu/ech-cgi/article.pl?id=PGS
benign,filmaffinity.com/es/search.php?stype=cast&stext
benign,chicopeemasoniclodge.org/westover.htm
benign,filmcritic.com/features/2008/10/american-scienc
benign,geographic.org/geographic_names/v/ve_014.html
benign,paperbackswap.com/Sadie-Rose-Adventure-Hilda-St
benign,baseball-almanac.com/players/player.php?p=henge
benign,biographi.ca/EN/ShowBio.asp?BioId=41243
benign,deborahfrances-white.com/stand-up.html
benign,spcmoray.com/
defacement,http://sexshop-bg.biz/products?page=shop.browse
benign,edu.gov.on.ca/eng/sift/indexSec.asp
benign,benoitglazer.com/
benign,judgepedia.org/index.php/Alan_Gold
defacement,http://mueblesjulianjimenez.es/index.php?page=s
benign,sbnation.com/ncaa-football/players/36729/brando
benign,isearch.com/searching.php?qloc=&showForm=name&q
defacement,http://fischereiverein.org/bildergalerie/catego
benign,ratemyteachers.com/amelia-high-school/15131-s
defacement,http://www.expatsalon.ru/index.php/2009-03-04-0
defacement,http://apoiojur.com.br/index.php?%2FTable%2FAdm
defacement,http://www.steffen-lemme.de/contact/berliner-bu
defacement,http://djsipke.nl/foto-album/1-cafedeknyp/detai
benign,carfloormatsforsale.com/door-sill/
defacement,http://www.harley-davidson-dijon.com/component/
benign,facebook.com/pages/Liberman-Broadcasting/106123
benign,thefreelibrary.com/No+Catholic+schools+in+Quebe
benign,cngzhz.en.ec21.com/
benign,atlasshrugs2000.typepad.com/atlas_shrugs/2007/0
benign,rotoworld.com/player/nhl/1413/player?r=1
benign,facebook.com/topic.php?uid=34012632110&topic=57
benign,tomdegan.blogspot.com/
defacement,http://www.smartphone.net.br/index.php?option=c
defacement,http://www.annamodlo.com.ua/index.html
benign,http://codecanyon.net/item/hide-my-joomla-hide-
benign,cswisdom.com/
defacement,http://www.aquamarinadivingtenerife.com/en/site
defacement,http://www.lafavoritacb.com/index.php?option=co
benign,ibabuzz.com/outtakes/category/night-owl/crown-c
benign,youtube.com/watch?v=ueziUAQR9LU
benign,en.wikipedia.org/wiki/Simonne_Monet-Chartrand
defacement,http://www.sidecocarrelli.it/x.txt
defacement,http://www.metalsul.ind.br/site/index.php?optio
benign,martindale.com/Brett-Donald-McIntosh/834737-law
benign,frillr.com/?q=taxonomy/term/1733
benign,bankingblog.celent.com/?p=2493
benign,en.wikipedia.org/wiki/Category:American_religio
benign,narrativemagazine.com/authors/saul-bellow
benign,benmeadowcroft.com/reports/corbato/
benign,spokeo.com/Mike+Burrows
benign,http://otomoto.pl/ciezarowe/EW4Hou_aN610rPsocim
benign,youtube.com/watch?v=FXWq7qMYB2s
benign,cifstate.org/
benign,nchsband.com/
benign,tvguide.com/celebrities/peter-keleghan/169984
benign,arstechnica.com/apple/news/2011/07/how-charlie-
benign,blog.metmuseum.org/penandparchment/tag/hours-of
benign,divacafe.net/
benign,archive.org/stream/lifeofmaryqueeno00headuoft/l
benign,http://buzzfil.net/article/5646/animaux/on-dira
malware,http://portal.dddgaming.com/docs/rules/15022/cn
benign,manta.com/c/mmq1m7y/coldwell-banker-heart-ameri
benign,superpages.com/bp/Milford-OH/Cliff-Riley-Insura
benign,ideas.repec.org/e/ppe73.html
defacement,http://www.school91.kiev.ua/index.php?option=co
benign,flickr.com/photos/cornforthimages/5812399737/
defacement,http://djkatrina.ru/sobytiya/meropriyatiya/klub
benign,national.citysearch.com/profile/45753728/vacavi
benign,http://yourlust.com/videos/tight-euro-teen-anna
benign,nytimes.com/pages/books/index.html
benign,legendsofhockey.net/LegendsOfHockey/jsp/SearchP
defacement,http://szgs.ru/information-for-you/interesting-
defacement,http://www.sandroecicero.com.br/index.php?optio
benign,homegain.com/local_real_estate/ND/argusville.ht
malware,http://9779.info/%E7%AE%80%E5%8D%95%E6%8A%98%E7
benign,http://noticias.uol.com.br/album/bbc/2015/04/01
benign,theglobeandmail.com/news/opinions/editorials/in
benign,bw.edu/athletics/fb/staff/grabowski/
phishing,appieid-enable.com
benign,fadsplymouth.com/
benign,locatetv.com/tv/ellen-degeneres-show/1964142/ep
benign,imdb.com/name/nm0769371/
benign,scotborders-folk.org.uk/labels.htm
benign,visa.ca/gvav/list2005.jsp?year=2005&curMonth=12
phishing,autopostoajax.com.br
benign,en.wikipedia.org/wiki/Party_of_One_(Peter_Elkas
benign,http://kienthuc.net.vn/diem-thi/diem-chuan-dai-
benign,http://pikabu.ru/tag/%D0%BC%D0%B8%D0%BD%D0%B8%D
defacement,http://www.ekino-neureut.de/index.php?option=co
defacement,http://www.rockabilly.it/gruppi/52-four-stars.h
defacement,http://www.rathgaelgym.org/squads/mag.1
benign,absoluteastronomy.com/topics/Legion_of_Merit
benign,thaiairways.com/
benign,famouspeople.com/famous_biographies/Lizzie_Stan
benign,triclopsband.com/
benign,mp3raid.com/music/lo_key.html
benign,amtrakcalifornia.com/index.cfm/routes/san-joaqu
benign,4martinique.com/
defacement,http://apoiojur.com.br/index.php?%2FNoticias%2F
benign,http://extratorrent.cc/torrent/4189694/Linux+Us
defacement,http://www.graz4u.at/de/produkte/187-high-level
benign,dwaynemeisner.com/
benign,linkedin.com/pub/john-barkley/7/764/916
benign,flyershistory.com/cgi-bin/b-player.cgi?Bernie_P
defacement,http://www.richpictures.co.uk/home/viewpost/232
benign,topix.com/ca/montreal-qc-montreal-nord
malware,http://9779.info/%E5%B9%BC%E5%84%BF%E7%B2%BD%E5
benign,trssllc.com/
benign,allgame.com/game.php?id=39396
benign,renerichardcollections.com/media.html
benign,securityfirstinternationalholdings.com/
benign,factbites.com/topics/Leyte
benign,car-stuff.com/pontiacgrandprixparts.htm
benign,usa-people-search.com/Find-Steven-Schwartz-CO.a
phishing,muhanovabeauty.ru
defacement,http://www.simmeurope.com/index.php?view=articl
benign,en.wordpress.com/tag/j-pop/
benign,pinoyexchange.com/forums/archive/index.php/t-19
benign,classicflix.com/buster-keaton-shorts-collection
defacement,http://spplodz.nazwa.pl/archiwum/2006_08b.php
benign,vodacom.co.za/
defacement,http://www.bertilohlsson.com/de/component/user/
benign,uwsuper.edu/alumni/halloffame/individuals.cfm
defacement,http://www.besztercekk.hu/index.php?option=com_
benign,suite.tekora.com/i/philippecoupjambet
benign,medicine.mcgill.ca/radiology/home_teachinghospi
benign,http://gizmodo.com/one-year-after-the-first-sno
benign,jbmfilms.com/
defacement,http://www.manganellipalace.it/de/willkommen-be
benign,en.wikipedia.org/wiki/Southeast_High_School_(Ka
benign,infopig.com/news/12-08-2009.html
benign,http://uproxx.com/dimemag/2015/05/lebron-instag
benign,linkedin.com/pub/tim-stepanski/18/319/149
benign,deafresources.info/
benign,http://web.tv/liveCategory/17/language/1/index/
benign,juggle.com/gary-pettis
benign,weather.noaa.gov/weather/TX_cc_us.html
defacement,http://www.sikobv.eu/nl/component/mailto/index.
defacement,http://midas-medical.com/products/electrocardio
phishing,rcarpe95.beget.tech
benign,answers.com/topic/the-northern-pikes
defacement,http://www.kommunalbit.de/index.php?option=com_
defacement,http://www.galerie-unterm-maulbeerbaum.de/index
phishing,http://fb.com.accounts.login.userid.343441.fbsb
benign,uk.ask.com/wiki/Lou_Holtz
benign,adsoftheworld.com/profile/profile_country/Egypt
benign,lifeskate.com/skate/2009/01/jessica-dub%C3%A9-a
benign,flixster.com/actor/tyrone-benskin
benign,basil-poledouris.thelyricarchive.com/lonesome-d
benign,monettecn.multiply.com/contacts
benign,collegehockeynews.com/news/2010/03/13_quinnipia
benign,summitconnects.com/In_the_News/ARCHIVE/2005_06.
benign,http://yourlust.com/videos/frantic-european-blo
benign,dailymotion.com/video/x3ytl9_wcw-superbrawl-199
benign,imdb.com/name/nm0056924/
benign,wn.com/De_La_Rue
benign,ehow.com/list_7588256_solar-panel-manufacturing
defacement,http://www.smos.cn/Case.asp?id=14
benign,prnewswire.com/news-releases/reportlinker-adds-
benign,sanfranciscobay.sierraclub.org/
defacement,http://www.nissad.com/nissad-contact.html
benign,myspace.com/amyryan07
defacement,http://www.whitminsterinn.co.uk/specialevents/c
benign,placesforafrica.com/exdeo/directions.php
benign,hmckc.maestroweb.com/
phishing,titaniumcorporate.co.za
benign,poemhunter.com/poem/the-ten-lepers/
benign,fanpop.com/spots/jun-matsumoto/images
benign,facecouncil.org/
benign,factmonster.com/ce6/people/A0809182.html
benign,mylife.com/c-2123302385
benign,barnesandnoble.com/w/hero-living-rudy-reyes/110
benign,facebook.com/pages/Sergio-Vitanza-Belgrave/1796
benign,jigsaw.com/scid5327852/peter_m_blaikie.xhtml
benign,http://rt.com/in-vision/oles-buzina-last-respec
malware,http://grasslandhotel.com.vn/index.php/componen
benign,http://torcache.net/torrent/2463A34D382BCD98F47
benign,ihavenet.com/nfl-2008-new-york-giants-aim-to-re
benign,ca.linkedin.com/pub/daniel-belanger/15/b37/b62
benign,2merkato.com/20110920355/afdb-to-co-finance-eth
defacement,http://totallifechurchjax.com/index.php?option=
benign,jdcarr.com/forsale.htm
benign,lyrics.com/cant-hold-us-down-lyrics-christina-a
benign,croonet.com/start/G_NDg4MDQwMQ%3D%3D/
defacement,http://www.dolcevino.it/index.php?option=com_co
malware,http://9779.info/%E4%BA%94%E8%B0%B7%E6%9D%82%E7
benign,soloautotuning.com/nissan-juke/
defacement,http://danielfabri.com.ar/mapa-del-sitio/index.
benign,totalwrestlinguk.co.uk/wcw-ppv.php
benign,armchairgm.wikia.com/1957_NCAA_Men%27s_Division
benign,facebook.com/TheLateLateShowwithCraigFerguson?f
benign,baseball-almanac.com/teamstats/roster.php?y=198
benign,alibris.com/search/books/author/Pratt%2C%20Flet
benign,smartshoppingmontreal.com/store.php?s=146
benign,http://elitedaily.com/entertainment/film/uncle-
benign,dipity.com/timeline/NTSB-FedEx-Crash/
benign,facebook.com/pages/London-Ice-Dawgs-Youth-Hocke
defacement,http://bjgdhm.com/cn/product.asp?id_code=0007
benign,legendsofhockey.net/LegendsOfHockey/jsp/SearchP
benign,kalamu.com/bol/2008/04/14/kevin-mahogany-%e2%80
benign,baltimorebeatdown.com/2010/4/20/1433515/baltimo
benign,mylife.com/roygiff
benign,linkedin.com/pub/dir/chris/benoit
defacement,http://www.suiteorchestra.it/index.php?option=c
defacement,http://rendeck.com/index.php/en/services/consul
benign,youtube.com/watch?v=AEXM7LxEwig
phishing,sydsarthaus.com
phishing,http://icomtec.com.my/westpac.au/login.westpac.
phishing,afugowe.com
benign,allposters.co.uk/-st/Tessier-Posters_c82413_.ht
benign,montrealselectlimo.com/
benign,wiley.com/bw/editors.asp?ref=1098-1616
benign,theposselist.com/agencies/indiana/indianapolis/
defacement,http://www.qrscelltech.com/de/component/content
benign,montrealgazette.com/sports/Horror+Hartford+silv
benign,katu.com/traffic/live
benign,http://torcache.net/torrent/C17420F0CEB6D995732
benign,hollow-art.com/base/jessalyn-gilsig-heroes
benign,theglobeandmail.com/life/health/leslie-roberts-
benign,burbed.com/
defacement,http://www.identcode.cz/cs/laserove-snimace-sta
benign,mylife.com/c-1956134312
benign,ca.linkedin.com/pub/dir/Angela/+/ca-4880-Vancou
benign,mylife.com/damonhenrysr
benign,rottentomatoes.com/m/the_swimming_pool/
benign,aceshowbiz.com/celebrity/dianne_wiest/
benign,https://medium.com/human-parts/the-laziest-comi
benign,elyrics.net/read/p/prince-lyrics/why-you-wanna-
malware,http://9779.info/%E6%AF%9B%E7%BA%BF%E8%B4%B4%E7
benign,checksure.biz/directors-da-121.htm
benign,people.famouswhy.com/ramzi_yousef/
benign,wn.com/Raymond
malware,trtsport.cz
benign,youtube.com/watch?v=aYRauv5oeXQ
benign,armchairgm.wikia.com/San_Diego_Chargers
benign,imartial.com/
malware,http://style.org.hc360.com/css/detail/mysite/si
phishing,ammmmazonm.temp.swtest.ru
benign,theglobeandmail.com/report-on-business/careers/
benign,doom.ocremix.org/
benign,yidio.com/celebrity/ted+lange
benign,mondotimes.com/1/world/ca/63/3144/27447
benign,montrealgazette.com/health/Cancer+fight+hits+ho
benign,wanderingcommuter.blogspot.com/2009/10/are-phil
defacement,http://www.cannonvaleautopro.com.au/tools.html
benign,http://qz.com/371908/the-greeks-money-already-s
benign,baseball-almanac.com/yearly/yr1887a.shtml
benign,worthpoint.com/worthopedia/1881-rogers-silver-p
benign,daylife.com/topic/Gabriel_Aubry
benign,chnm.gmu.edu/dimenovels/romance_series.html
benign,mafiaslugger.blogspot.com/
benign,forecaster.thehockeynews.com/hockeynews/hockey/
benign,amazon.com/Lonely-Planet-British-Columbia-Fanse
benign,flightsimhangar.com/fsblog/?p=1061
benign,comtedegrasse.org/history.html
benign,section303.com/jp-dumont-bought-out-by-the-nash
benign,zimbio.com/Marshon+Brooks
benign,linkedin.com/pub/dir/donald/harvey
benign,scnow.com/sports/2011/mar/18/patriots-reflect-1
phishing,http://www.naylorantiques.com/d0y_qx_6_l_6hqo_e
defacement,http://diddydeshi.com/latest-news/2-latest-news
benign,songlyrics.com/doobie-brothers/sweet-maxine-lyr
benign,http://babal.net/downloads_details/497/%D9%83%D
benign,http://zozo.jp/shop/americanragcie/?price=prope
phishing,http://pastehtml.com/view/b2i243gkw.html
malware,http://img14.360buyimg.com/n12/g12/M00/07/06/rB
benign,crisiscampmontreal.wordpress.com/
malware,http://9779.info/%E6%89%8B%E5%B7%A5%E6%B2%BE%E8
defacement,http://www.natureevent.dk/component/mailto/inde
benign,broadcasting-history.ca/index3.html?url=http%3A
benign,johndouglasmindhunter.com/forums/viewtopic.php?
benign,rachelperry.wordpress.com/2010/07/02/zach-and-a
benign,iraqwarheroes.org/wightman.htm
benign,legacy.com/obituaries/herald/obituary.aspx?n=je
benign,associatedcontent.com/article/2907580/2010_nfl_
benign,company-formations-ireland.com/companies-regist
benign,eagletribune.com/obituaries/x1305242071/Matilda
benign,funnybumblog.com/just-for-laughs-gags-accidenta
benign,en.wikipedia.org/wiki/Aria_(disambiguation)
defacement,http://sladkiybuket.net/index.php?page=shop.pro
defacement,http://www.sklep-splawik.pl/index.php?option=co
benign,urbanspoon.com/r/6/764245/restaurant/Locust-Str
benign,facebook.com/people/Randall-Moss/1118160021
defacement,http://www.latablepaysanne.fr/index.php?option=
defacement,http://www.lescoulissesdetanger.com/galeriesmus
defacement,http://www.akmediaproductions.ca/index.php?opti
benign,kansas.com/2011/10/25/2076791/a-history-of-kemp
benign,en.wikipedia.org/wiki/KBWF
benign,manta.com/c/mt7wwmh/jason-rhoades
benign,amazon.com/Pink-Motel-VHS-Phyllis-Diller/dp/630
benign,allensarchiveofearlyoldcountrymusic.blogspot.co
benign,wn.com/lewislavoie
benign,packersnews.greenbaypressgazette.com/article/20
benign,en.wikipedia.org/wiki/Will_Work_for_Food_(TV_sh
benign,kwqc.com/Global/story.asp?S=15903666
